,nom,siren,nature
0,Haut - Bugey Agglomération,200042935,CA
1,CA du Bassin de Bourg-en-Bresse,200071751,CA
2,CA du Pays de Gex,240100750,CA
3,CC Rives de l'Ain - Pays du Cerdon,200029999,CC
4,CC Bugey Sud,200040350,CC
5,CC Dombes Saône Vallée,200042497,CC
6,CC de la Dombes,200069193,CC
7,CC Val de Saône Centre,200070118,CC
8,CC de la Veyle,200070555,CC
9,CC Bresse et Saône,200071371,CC
10,CC de la Côtière à Montluel,240100610,CC
11,CC de Miribel et du Plateau,240100800,CC
12,CC de la Plaine de l'Ain,240100883,CC
13,CC du Pays Bellegardien (CCPB),240100891,CC
14,SM intercommunal de destruction des ordures ménagères Veyle Saône,250101086,SMF
15,SM de traitement des déchets ménagers et assimilés (ORGANOM),250102365,SMF
16,SM pour le traitement des déchets ménagers et assimilés (SM de Crocu),250102373,SMF
17,SM intercommunal de gestion des déchets du Faucigny Genevois (SIDEFAGE),257401620,SMF
18,CA du Pays de Laon,200043495,CA
19,CA Chauny Tergnier La Fère,200071785,CA
20,CA du Saint-Quentinois,200071892,CA
21,CA de la Région de Château-Thierry,200072031,CA
22,GrandSoissons Agglomération,240200477,CA
23,CC du Val de l'Oise,200040426,CC
24,CC Picardie des Châteaux,200071769,CC
25,CC Thiérache Sambre et Oise,200071983,CC
26,CC Retz en Valois,200071991,CC
27,CC de la Thiérache du Centre,240200444,CC
28,CC du Pays de la Serre,240200469,CC
29,CC du Pays du Vermandois,240200493,CC
30,CC du Val de l'Aisne,240200501,CC
31,CC du Canton d'Oulchy le Château,240200519,CC
32,CC de la Champagne Picarde,240200576,CC
33,CC du Canton de Charly sur Marne,240200584,CC
34,CC du Chemin des Dames,240200592,CC
35,CC des Trois Rivières,240200600,CC
36,CC des Portes de la Thiérache,240200634,CC
37,SI de ramassage et de traitement des ordures ménagères (SIRTOM) de la région de Laon ,250200383,SMF
38,Valor'Aisne (Syndicat départemental de traitement des déchets ménagers de l'Aisne),250208790,SMO
39,PETR - UCCSA (Union des CC du Sud de l'Aisne),200051100,PETR
40,PETR du Pays de Thiérache,200051118,PETR
41,PETR du Soissonnais et du Valois,200085694,PETR
42,CA Montluçon Communauté,200071082,CA
43,CA Moulins Communauté,200071140,CA
44,CA Vichy Communauté,200071363,CA
45,CC Saint-Pourçain Sioule Limagne,200071389,CC
46,CC Entr'Allier Besbre et Loire,200071470,CC
47,CC du Bocage Bourbonnais,200071496,CC
48,CC Commentry Montmarault Néris Communauté,200071512,CC
49,CC du Pays de Lapalisse,240300491,CC
50,CC du Pays de Tronçais,240300558,CC
51,CC du Val de Cher,240300566,CC
52,CC du Pays d'Huriel,240300657,CC
53,SI de collecte et de traitement des ordures ménagères (SICTOM) Sud-Allier,250300050,SMF
54,SM de collecte et de traitement des ordures ménagères Nord-Allier (SICTOM Nord Allier),250300217,SMF
55,SI de collecte et de traitement des ordures ménagères (SICTOM) du secteur de Cérilly,250303039,SMF
56,SM intercommunal de collecte et de traitement d'ordures ménagères de la région montluçonnaise,250303294,SMF
57,PETR du Pays de la vallée de Montluçon et du Cher,200051753,PETR
58,CA Durance-Lubéron-Verdon Agglomération,200034700,CA
59,CA Provence-Alpes-Agglomération,200067437,CA
60,"CC Alpes-Provence-Verdon ""Sources de lumière""",200068625,CC
61,CC du Sisteronais-Buëch,200068765,CC
62,CC Haute-Provence-Pays de Banon,200071025,CC
63,CC Jabron-Lure-Vançon-Durance,200071033,CC
64,CC Vallée de l'Ubaye - Serre-Ponçon,200072304,CC
65,CC Pays Forcalquier et Montagne de Lure,240400440,CC
66,SM départemental d'élimination et de valorisation des ordures ménagères (SYDEVOM) des Alpes-de-Haute-Provence,250401221,SMO
67,CA Gap-Tallard-Durance,200067825,CA
68,CC Serre-Ponçon Val d'Avance,200067320,CC
69,CC Buëch-Dévoluy,200067445,CC
70,CC du Guillestrois et du Queyras,200067452,CC
71,CC Serre-Ponçon,200067742,CC
72,CC Champsaur-Valgaudemar,200068096,CC
73,CC du Briançonnais,240500439,CC
74,CC du Pays des Ecrins,240500462,CC
75,"Syndicat Mixte de Traitement des Ordures Ménagères du Guillestrois, du Queyras et de l'Argentiérois (SMITOMGA)",250500790,SMF
76,"PETR du Briançonnais, des Ecrins, du Guillestrois et du Queyras",200052801,PETR
77,Métropole Nice Côte d'Azur,200030195,METRO
78,CA du Pays de Grasse,200039857,CA
79,CA Cannes Pays de Lérins,200039915,CA
80,CA de la Riviera Française,240600551,CA
81,CA de Sophia Antipolis,240600585,CA
82,CC Alpes d'Azur,200039931,CC
83,CC du Pays des Paillons,240600593,CC
84,SIVOM de Valberg,240600023,SIVOM
85,SM d'élimination des déchets (SMED),200000586,SMO
86,SM pour la valorisation des déchets UNIVALOM,200046076,SMO
87,CA Privas Centre Ardèche,200071413,CA
88,CA Annonay Rhône Agglo,200072015,CA
89,CA Arche Agglo,200073096,CA
90,CC du Pays de Lamastre,200016905,CC
91,CC des Gorges de l'Ardèche,200039808,CC
92,CC Ardèche des Sources et Volcans,200039824,CC
93,CC Pays des Vans en Cévennes,200039832,CC
94,CC Rhône Crussol,200041366,CC
95,CC Val Eyrieux,200041465,CC
96,CC Ardèche Rhône Coiron,200071405,CC
97,CC de la Montagne d'Ardèche,200072007,CC
98,CC du Bassin d'Aubenas,200073245,CC
99,CC du Pays Beaume-Drobie,240700302,CC
100,CC Val de Ligne,240700617,CC
101,CC du Val d'Ay,240700716,CC
102,CC Berg et Coiron,240700815,CC
103,CC du Rhône aux Gorges de l'Ardèche,240700864,CC
104,SI de collecte et de traitement des ordures ménagères du secteur Eyrieux-Doux (SICTOMSED),250700135,SMF
105,SI de collecte et de traitement des ordures ménagères de la Basse-Ardèche (SICTOBA),250700218,SMF
106,Syndicat pour la destruction des ordures ménagères du secteur d'Aubenas (SIDOMSA),250701851,SMF
107,Ardenne Métropole,200041630,CA
108,CC Ardennes Thiérache,200041622,CC
109,CC du Pays Réthelois,200043156,CC
110,CC Vallées et Plateau d'Ardenne,200067759,CC
111,"CC Ardenne, Rives de Meuse",240800821,CC
112,CC des Portes du Luxembourg,240800847,CC
113,CC des Crêtes Préardennaises,240800862,CC
114,CC de l'Argonne Ardennaise,240800920,CC
115,"SM du SCOT ""Nord Ardennes""",200088730,SMF
116,SICOMAR de l'arrondissement de Réthel,250800646,SMF
117,SM de traitement des déchets Ardennais (VALODEA),250800489,SMO
118,CA Pays Foix-Varilhes,200067791,CA
119,CC du Pays de Mirepoix,200044469,CC
120,CC Arize Lèze,200066223,CC
121,CC des Portes d'Ariège Pyrénées,200066231,CC
122,CC de la Haute Ariège,200066363,CC
123,CC Couserans-Pyrénées,200067940,CC
